Address,entry_date,,,,
3033 Quaker Hill Lane,2/11/00,,,,
3036 Blackford Parkway,10/10/08,,,,
3036 Many Oaks Park,10/30/04,,,,
3036 Polo Club Boulevard,3/15/00,,,,
3037 Bobwhite Trail,8/29/17,,,,
3037 Polo Club Boulevard,4/19/00,,,,
3037 Quaker Hill Lane,6/20/00,,,,
304 Hannah Todd Place,3/6/18,,,,
3040 Polo Club Boulevard,4/11/00,,,,
3041 Blackford Parkway,8/6/07,,,,
3041 Polo Club Boulevard,4/11/00,,,,
3041 Quaker Hill Lane,6/30/00,,,,
3044 Bobwhite Trail,12/14/10,,,,
3045 Blackford Parkway,5/15/07,,,,
3045 Polo Club Boulevard,2/8/00,,,,
3045 Quaker Hill Lane,4/6/00,,,,
3049 Blackford Parkway,3/24/10,,,,
3049 Polo Club Boulevard,2/8/00,,,,
3049 Quaker Hill Lane,7/31/00,,,,
3052 Quaker Hill Lane,5/3/00,,,,
3053 Many Oaks Park,9/3/04,,,,
3053 Quaker Hill Lane,2/10/00,,,,
3056 Blackford Parkway,3/5/12,,,,
3056 Bobwhite Trail,1/6/11,,,,
3057 Many Oaks Park,10/6/04,,,,
3057 Quaker Hill Lane,6/30/00,,,,
3061 Quaker Hill Lane,3/2/00,,,,
3064 Blackford Parkway,11/19/12,,,,
3064 Bobwhite Trail,12/14/10,,,,
3064 Old House Road,12/31/99,,,,
3064 Polo Club Boulevard,5/31/01,,,,
3065 Many Oaks Park,7/23/04,,,,
3068 Blackford Parkway,6/21/11,,,,
3068 Old House Road,12/31/99,,,,
3068 Polo Club Boulevard,3/23/01,,,,
3069 Bobwhite Trail,9/18/12,,,,
3069 Many Oaks Park,10/6/04,,,,
3072 Polo Club Boulevard,3/23/01,,,,
3076 Blackford Parkway,11/19/12,,,,
3076 Polo Club Boulevard,11/7/00,,,,
3077 Bobwhite Trail,1/10/14,,,,
3077 Polo Club Boulevard,5/17/02,,,,
3080 Blackford Parkway,3/15/11,,,,
3080 Bobwhite Trail,4/6/16,,,,
3080 Polo Club Boulevard,8/22/00,,,,
3081 Polo Club Boulevard,6/9/00,,,,
3084 Blackford Parkway,3/15/11,,,,
3085 Many Oaks Park,8/10/04,,,,
3085 Polo Club Boulevard,5/17/02,,,,
3088 Polo Club Boulevard,3/27/00,,,,
3089 Bobwhite Trail,5/12/17,,,,
3089 Many Oaks Park,1/24/05,,,,
3089 Polo Club Boulevard,6/9/00,,,,
3092 Many Oaks Park,11/18/04,,,,
3092 Polo Club Boulevard,3/27/00,,,,
3093 Bobwhite Trail,4/6/16,,,,
3093 Many Oaks Park,11/12/04,,,,
3093 Polo Club Boulevard,8/31/00,,,,
3096 Many Oaks Park,10/23/04,,,,
3096 Polo Club Boulevard,3/27/00,,,,
3097 Bobwhite Trail,12/23/15,,,,
3097 Caversham Park Lane,2/17/00,,,,
3097 Many Oaks Park,12/20/04,,,,
3100 Bobwhite Trail,7/19/16,,,,
3100 Many Oaks Park,12/7/04,,,,
3101 Bobwhite Trail,11/11/16,,,,
3101 Caversham Park Lane,2/8/00,,,,
3104 Roundway Down Lane,12/31/99,,,,
3105 Caversham Park Lane,4/11/00,,,,
3105 Roundway Down Lane,12/31/99,,,,
3108 Roundway Down Lane,12/31/99,,,,
3108 Scottish Trace,3/18/05,,,,
3109 Caversham Park Lane,3/15/00,,,,
3112 Roundway Down Lane,12/31/99,,,,
3112 Scottish Trace,3/31/05,,,,
3113 Caversham Park Lane,2/17/00,,,,
3113 Owls Head Lane,10/10/08,,,,
3116 Roundway Down Lane,12/31/99,,,,
3116 Scottish Trace,9/29/04,,,,
3116 Sweet Clover Lane,5/12/16,,,,
3117 Caversham Park Lane,4/11/00,,,,
3120 Roundway Down Lane,12/31/99,,,,
